,longitude,latitude
0,11.716941,55.7113154
1,8.2504954,56.0901366
2,9.0218779,55.480881
3,9.0289236,56.5730901
4,11.1458464,54.8334082
5,9.8699815,56.2554871
6,9.4099081,56.4469128
7,11.3661532,55.4023901
8,12.565832,55.7156153
9,9.8143473,55.034224
10,12.519366,55.7645027
11,12.328904,55.929884
12,12.3892316,55.6728051
13,11.9111614,54.9993654
14,8.4840822,55.6038782
15,10.5721841,55.0549089
16,12.57428,55.818613
17,8.4565099,55.4670734
18,10.03939,56.465994
19,11.502346,55.530107
20,9.5591898,56.1701538
21,10.3970361,57.5230396
22,8.6962097,56.9574484
23,10.1152194,56.1411734
24,10.172032,56.1898324
25,12.0905851,55.6366632
26,10.3669346,55.3835623
27,9.5380602,55.7147435
28,12.5687885,56.0193339
29,12.62034851,55.65509039
30,10.787225783333334,55.31670179166667
31,12.518087392857144,55.67842625000001
32,11.759351086666667,55.2370133
33,10.863454026315788,56.41814474210526
34,12.36109722142857,55.72174455714286
35,9.92837232,56.034085484
36,12.08478684375,55.848798031250006
37,10.40612328,54.8926647622222
38,9.48235286153846,55.50087923076924
39,12.0313071,55.97673546
40,9.906407486153844,57.03823125846154
41,8.985748188888888,56.13221791666667
42,8.890028350000001,56.15789403
43,14.70691598125,55.09193985
44,12.442069641304348,55.7319666630435
45,9.96828577142857,55.39521582142857
46,9.444466571794871,55.24621720512821
47,12.248839344186052,55.59404127093025
48,11.626352996551732,54.80325731896552
49,9.873573465217392,55.86328993478262
50,9.462418507692307,55.09154418461537
51,9.998407344444445,57.451000333333326
52,11.9468138,55.33756381111111
53,9.79799953125,56.6337740125
54,10.190545435294116,56.11815696470588
55,9.454528147222222,54.84032041944445
56,9.338204823529413,56.77710456470589
57,10.591052316666666,55.83088261666666
58,11.790649640000002,55.45010988
59,12.165657394000002,55.47688547199999
60,9.733796207575756,55.4950048939394
61,8.314563951724137,56.54969911034482
62,11.282423049999998,55.260413375
