Unnamed: 0,longitude,latitude,status_3_ratio_mean
336,10.161239,57.152389,0.884188626907072
158,9.36722,55.065492,0.8921705426356562
171,9.76432,56.147603,1.176892799259087
384,9.93721,57.2226,1.2390097177232757
351,9.766954,56.149722,1.284952469278923
102,9.004974,56.039672,1.3831088403777643
144,10.06587,56.17521,1.4124163397184382
383,9.40002,55.51409,1.4486411791801015
314,9.000103,56.038029,1.557481892433348
311,9.941859,57.221955,1.5962255358807063
310,9.39401,55.51196,1.6160445165777848
19,9.517892,56.200756,1.8638010142477617
191,9.32942,54.82622,1.9937788018433178
49,10.06543,56.17812,2.15748031496063
219,10.02423,57.099975,2.1807005335189036
268,9.578401,56.185779,2.2313241796602217
337,12.2314,55.56066,2.263267189663127
238,11.651887,55.700608,2.298257839721254
240,8.589284,55.524597,2.431510164569214
189,9.74208,56.84363,2.435089333640057
34,11.656742,55.70182,2.562398703403566
143,11.59646,55.45536,2.5660127666199575
170,11.98752,54.94839,2.6090277777777775
121,11.60721,55.45523,2.6615563298490104
77,9.33313,54.83231,2.6823365138468676
68,9.7435,56.84127,2.9941775836972333
397,12.000319,54.998079,3.0316251830161014
222,10.18904,55.39329,3.0424791086350953
103,9.464464,55.526407,3.1739634005096105
109,11.959194,55.080664,3.202216066481993
221,10.158087,57.154299,3.215577190542417
209,9.55807,55.64211,3.530698713504351
391,12.215369,55.54566,3.9124797406807055
232,12.097063,55.626112,4.136941938468655
193,9.56305,55.64044,4.145765849143912
236,11.83078,55.639719,4.412885022337169
203,11.957143,55.169362,4.413383958234437
367,10.00196,56.448947,4.475969352217321
263,9.999327,56.449459,4.595769409576939
37,9.967491,57.020387,4.890683520599247
105,12.16242,55.488631,5.0192759755524134
286,11.786234,55.453298,5.031811894882434
379,9.89515,55.46893,5.128867178413575
66,10.841085,55.297526,5.136490900606625
15,10.188196,55.395462,5.272600834492349
177,10.00619,56.151623,5.524401689347721
99,11.918018,54.898954,5.909033664325493
204,10.073908,56.412811,5.975227856975926
309,12.476933,55.877056,6.0761948741630105
266,12.230918,55.560067,6.215096087057188
166,10.076191,56.412393,6.437122969837586
248,12.524161,55.833041,6.653890824622532
233,9.786466,55.886381,6.9341583002568195
334,12.229786,55.561581,6.993297896926275
78,11.958106,55.166096,7.304090801607945
331,9.371837,55.215624,7.39419755929081
279,9.376607,55.216359,7.485483870967741
178,11.352533,55.391936,7.988845780795343
284,11.362686,55.387655,8.070585457979217
111,11.353155,55.390728,8.270377270610153
94,10.055847,55.413935,8.389574759945127
313,8.23574,56.094496,8.760275175644026
341,12.400076,55.643301,8.873517786561255
245,9.464075,55.52614,9.395153774464111
196,9.58365,55.723784,9.475734951003266
272,12.00039,54.99729,10.070866141732278
29,12.656632,55.631338,10.399860594795536
260,10.420607,55.354133,10.534205976784387
285,9.366183,55.065279,11.17154318074563
243,9.694855,56.783046,11.79477524123323
276,12.521009,55.775075,12.056367924528294
156,9.978565,56.068623,12.838374291115306
239,8.829697,56.787214,13.524839553125737
229,12.474888,55.906489,14.790670689255046
162,11.789021,55.453194,15.559722222222222
271,9.694346,56.782908,16.13330215154349
61,9.570138,55.722555,16.505556869236223
147,9.767765,55.509767,18.072072072072068
214,12.575313,55.626754,18.23966558290757
230,11.98818,54.948674,18.35544256990987
235,12.157368,55.486708,18.67974772249474
256,10.510433,57.389315,19.447549135685513
375,9.978392,56.068124,19.946349428504774
100,10.840271,55.297279,20.082331174838114
226,10.804939,55.309395,20.196345975948194
352,9.3663,55.06505,22.401395998138664
132,9.695102,56.784101,22.430215827338127
92,11.89693,54.899885,24.25220080894598
387,9.717684,55.536776,26.217838963442848
395,9.350055,56.131292,27.654541241890637
159,8.548019,55.521225,29.063506672802568
93,11.120159,55.347721,29.320158102766797
287,12.624391,55.627132,29.550656660412745
198,9.897226,56.541577,30.882476146148473
131,11.47722,54.7791,31.015205511998076
208,12.257683,55.584921,34.07599841049075
89,10.808783,55.308471,43.39824642362713
388,10.04226,57.455813,47.72220899785764
348,9.845626,55.487669,50.25110132158591
273,11.830555,55.64006,52.48370986920331
21,9.87785,55.478189,52.565166975881255
116,9.378711,54.939946,61.175743162901284
386,9.718525,55.535763,62.47189213893966
353,9.764768,55.51131,64.78204217010187
338,9.173014,56.122406,68.5513731060606
176,9.690891,56.783309,69.07942925089178
169,9.547091,55.663749,72.26188257222739
119,9.360839,55.068158,74.79432793136321
96,9.006889,56.135327,76.99196787148591
242,9.968678,57.088541,91.5854790071909
120,9.667926,55.786395,121.96883178681892
118,11.361842,55.38791,125.19400143506336
308,9.716938,55.534483,128.49345393953823
255,10.419778,55.352714,138.27667984189722
275,12.161393,55.489341,139.30281199163375
16,12.163113,55.489025,177.97570850202428
