AADT,lat,lon
53751,55.81690639170355,12.38345784417654
46533,55.833781682083696,12.364491586791218
41641,56.4214625389532,10.063385299864208
39988,55.3502888213208,10.582217994786854
38616,55.35419061533614,10.564659383635997
31688,56.11452381316137,10.06410372495919
30944,56.42750939141827,10.045410135514318
28402,55.48382751452781,12.169361506369516
26925,55.66740815363757,12.41440669806474
25377,56.2863351559385,10.331178873004385
23851,55.68907419727271,12.403833816211767
22925,55.66776490647327,12.418383004046335
22714,55.5210327484321,8.5596222937414
21282,56.14505436586184,9.01187755201818
20228,55.5198292012921,8.552334288997285
18254,55.38842132034473,10.218945039437296
17723,55.62222569919488,12.092383080180614
16318,55.69301760774648,12.413027404702218
15182,55.52547722793493,8.45790777691042
14966,54.93147572839348,9.829411670460868
14241,55.82468414701224,12.383111415840094
13571,55.3875801750464,10.210441830639322
12626,56.48982748602077,9.982793187320471
12492,55.70833255029817,9.473180861177322
12010,56.24736901313275,10.301244613524066
11797,55.94434479467143,12.347582310390068
11441,55.72792811038524,12.558086777809985
11389,55.45899133638768,11.562174383650596
10869,55.49315436804929,9.129499841667537
10602,55.84331175681428,9.742295532907054
10389,55.73382160898369,12.460476240744786
10065,55.731968229956,12.55550669578585
9890,55.3873150059867,10.205445244547825
9720,55.46034016525976,9.399200470576192
9068,55.72553943773201,12.499827840190225
9040,57.00886510841485,9.910156795626571
